periodo,tipo,subtipo,barrio,total,comuna
01/2020,Homicidio,Doloso,Barracas,1,4
01/2020,Homicidio,Doloso,Nueva Pompeya,1,4
01/2020,Homicidio,Doloso,Retiro,1,1
01/2020,Homicidio,Doloso,Saavedra,1,12
01/2020,Homicidio,Femicidio,Villa Devoto,1,11
01/2020,Homicidio,Siniestro Vial,Balvanera,1,3
01/2020,Homicidio,Siniestro Vial,Flores,1,7
01/2020,Homicidio,Siniestro Vial,Monserrat,2,1
01/2020,Homicidio,Siniestro Vial,Recoleta,1,2
01/2020,Homicidio,Siniestro Vial,San Cristóbal,1,3
01/2020,Homicidio,Siniestro Vial,Villa Crespo,1,15
01/2020,Homicidio,Siniestro Vial,Villa Soldati,1,8
01/2020,Hurto (sin violencia),,,5,NA
01/2020,Hurto (sin violencia),,Agronomía,14,15
01/2020,Hurto (sin violencia),,Almagro,142,5
01/2020,Hurto (sin violencia),,Balvanera,306,3
01/2020,Hurto (sin violencia),,Barracas,75,4
01/2020,Hurto (sin violencia),,Belgrano,142,13
01/2020,Hurto (sin violencia),,Boca,46,4
01/2020,Hurto (sin violencia),,Boedo,58,5
01/2020,Hurto (sin violencia),,Caballito,157,6
01/2020,Hurto (sin violencia),,Chacarita,36,15
01/2020,Hurto (sin violencia),,Coghlan,12,12
01/2020,Hurto (sin violencia),,Colegiales,50,13
01/2020,Hurto (sin violencia),,Constitución,90,1
01/2020,Hurto (sin violencia),,Flores,143,7
01/2020,Hurto (sin violencia),,Floresta,58,10
01/2020,Hurto (sin violencia),,Liniers,62,9
01/2020,Hurto (sin violencia),,Mataderos,88,9
01/2020,Hurto (sin violencia),,Monserrat,127,1
01/2020,Hurto (sin violencia),,Monte Castro,25,10
01/2020,Hurto (sin violencia),,Nueva Pompeya,61,4
01/2020,Hurto (sin violencia),,Nuñez,66,13
01/2020,Hurto (sin violencia),,Palermo,349,14
01/2020,Hurto (sin violencia),,Parque Avellaneda,49,9
01/2020,Hurto (sin violencia),,Parque Chacabuco,63,7
01/2020,Hurto (sin violencia),,Parque Chas,17,15
01/2020,Hurto (sin violencia),,Parque Patricios,55,4
01/2020,Hurto (sin violencia),,Paternal,20,15
01/2020,Hurto (sin violencia),,Puerto Madero,23,1
01/2020,Hurto (sin violencia),,Recoleta,177,2
01/2020,Hurto (sin violencia),,Retiro,130,1
01/2020,Hurto (sin violencia),,Saavedra,61,12
01/2020,Hurto (sin violencia),,San Cristóbal,51,3
01/2020,Hurto (sin violencia),,San Nicolás,252,1
01/2020,Hurto (sin violencia),,San Telmo,62,1
01/2020,Hurto (sin violencia),,Vélez Sársfield,24,10
01/2020,Hurto (sin violencia),,Versalles,14,10
01/2020,Hurto (sin violencia),,Villa Crespo,83,15
01/2020,Hurto (sin violencia),,Villa Del Parque,51,11
01/2020,Hurto (sin violencia),,Villa Devoto,57,11
01/2020,Hurto (sin violencia),,Villa Gral. Mitre,25,11
01/2020,Hurto (sin violencia),,Villa Lugano,101,8
01/2020,Hurto (sin violencia),,Villa Luro,31,10
01/2020,Hurto (sin violencia),,Villa Ortuzar,21,15
01/2020,Hurto (sin violencia),,Villa Pueyrredón,38,12
01/2020,Hurto (sin violencia),,Villa Real,7,10
01/2020,Hurto (sin violencia),,Villa Riachuelo,21,8
01/2020,Hurto (sin violencia),,Villa Santa Rita,27,11
01/2020,Hurto (sin violencia),,Villa Soldati,38,8
01/2020,Hurto (sin violencia),,Villa Urquiza,77,12
01/2020,Hurto (sin violencia),Hurto Automotor,Almagro,12,5
01/2020,Hurto (sin violencia),Hurto Automotor,Balvanera,11,3
01/2020,Hurto (sin violencia),Hurto Automotor,Barracas,10,4
01/2020,Hurto (sin violencia),Hurto Automotor,Belgrano,4,13
01/2020,Hurto (sin violencia),Hurto Automotor,Boca,1,4
01/2020,Hurto (sin violencia),Hurto Automotor,Boedo,7,5
01/2020,Hurto (sin violencia),Hurto Automotor,Caballito,28,6
01/2020,Hurto (sin violencia),Hurto Automotor,Chacarita,4,15
01/2020,Hurto (sin violencia),Hurto Automotor,Coghlan,3,12
01/2020,Hurto (sin violencia),Hurto Automotor,Colegiales,4,13
01/2020,Hurto (sin violencia),Hurto Automotor,Constitución,10,1
01/2020,Hurto (sin violencia),Hurto Automotor,Flores,19,7
01/2020,Hurto (sin violencia),Hurto Automotor,Floresta,8,10
01/2020,Hurto (sin violencia),Hurto Automotor,Liniers,11,9
01/2020,Hurto (sin violencia),Hurto Automotor,Mataderos,18,9
01/2020,Hurto (sin violencia),Hurto Automotor,Monserrat,2,1
01/2020,Hurto (sin violencia),Hurto Automotor,Monte Castro,5,10
01/2020,Hurto (sin violencia),Hurto Automotor,Nueva Pompeya,9,4
01/2020,Hurto (sin violencia),Hurto Automotor,Nuñez,3,13
01/2020,Hurto (sin violencia),Hurto Automotor,Palermo,19,14
01/2020,Hurto (sin violencia),Hurto Automotor,Parque Avellaneda,3,9
01/2020,Hurto (sin violencia),Hurto Automotor,Parque Chacabuco,6,7
01/2020,Hurto (sin violencia),Hurto Automotor,Parque Chas,1,15
01/2020,Hurto (sin violencia),Hurto Automotor,Parque Patricios,14,4
01/2020,Hurto (sin violencia),Hurto Automotor,Paternal,2,15
01/2020,Hurto (sin violencia),Hurto Automotor,Recoleta,5,2
01/2020,Hurto (sin violencia),Hurto Automotor,Retiro,2,1
01/2020,Hurto (sin violencia),Hurto Automotor,Saavedra,7,12
01/2020,Hurto (sin violencia),Hurto Automotor,San Cristóbal,8,3
01/2020,Hurto (sin violencia),Hurto Automotor,San Telmo,2,1
01/2020,Hurto (sin violencia),Hurto Automotor,Vélez Sársfield,4,10
01/2020,Hurto (sin violencia),Hurto Automotor,Versalles,2,10
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Crespo,8,15
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Del Parque,2,11
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Devoto,7,11
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Gral. Mitre,8,11
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Lugano,22,8
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Luro,8,10
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Ortuzar,4,15
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Pueyrredón,9,12
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Real,1,10
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Riachuelo,5,8
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Santa Rita,5,11
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Soldati,10,8
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Urquiza,7,12
01/2020,Lesiones,Siniestro Vial,,36,NA
01/2020,Lesiones,Siniestro Vial,Agronomía,2,15
01/2020,Lesiones,Siniestro Vial,Almagro,27,5
01/2020,Lesiones,Siniestro Vial,Balvanera,45,3
01/2020,Lesiones,Siniestro Vial,Barracas,17,4
01/2020,Lesiones,Siniestro Vial,Belgrano,17,13
01/2020,Lesiones,Siniestro Vial,Boca,7,4
01/2020,Lesiones,Siniestro Vial,Boedo,11,5
01/2020,Lesiones,Siniestro Vial,Caballito,36,6
01/2020,Lesiones,Siniestro Vial,Chacarita,15,15
01/2020,Lesiones,Siniestro Vial,Coghlan,3,12
01/2020,Lesiones,Siniestro Vial,Colegiales,9,13
01/2020,Lesiones,Siniestro Vial,Constitución,21,1
01/2020,Lesiones,Siniestro Vial,Flores,73,7
01/2020,Lesiones,Siniestro Vial,Floresta,14,10
01/2020,Lesiones,Siniestro Vial,Liniers,7,9
01/2020,Lesiones,Siniestro Vial,Mataderos,9,9
01/2020,Lesiones,Siniestro Vial,Monserrat,13,1
01/2020,Lesiones,Siniestro Vial,Monte Castro,6,10
01/2020,Lesiones,Siniestro Vial,Nueva Pompeya,16,4
01/2020,Lesiones,Siniestro Vial,Nuñez,15,13
01/2020,Lesiones,Siniestro Vial,Palermo,48,14
01/2020,Lesiones,Siniestro Vial,Parque Avellaneda,13,9
01/2020,Lesiones,Siniestro Vial,Parque Chacabuco,11,7
01/2020,Lesiones,Siniestro Vial,Parque Chas,5,15
01/2020,Lesiones,Siniestro Vial,Parque Patricios,14,4
01/2020,Lesiones,Siniestro Vial,Paternal,1,15
01/2020,Lesiones,Siniestro Vial,Puerto Madero,5,1
01/2020,Lesiones,Siniestro Vial,Recoleta,30,2
01/2020,Lesiones,Siniestro Vial,Retiro,16,1
01/2020,Lesiones,Siniestro Vial,Saavedra,26,12
01/2020,Lesiones,Siniestro Vial,San Cristóbal,18,3
01/2020,Lesiones,Siniestro Vial,San Nicolás,18,1
01/2020,Lesiones,Siniestro Vial,San Telmo,10,1
01/2020,Lesiones,Siniestro Vial,Vélez Sársfield,6,10
01/2020,Lesiones,Siniestro Vial,Versalles,2,10
01/2020,Lesiones,Siniestro Vial,Villa Crespo,26,15
01/2020,Lesiones,Siniestro Vial,Villa Del Parque,9,11
01/2020,Lesiones,Siniestro Vial,Villa Devoto,22,11
01/2020,Lesiones,Siniestro Vial,Villa Gral. Mitre,11,11
01/2020,Lesiones,Siniestro Vial,Villa Lugano,17,8
01/2020,Lesiones,Siniestro Vial,Villa Luro,2,10
01/2020,Lesiones,Siniestro Vial,Villa Ortuzar,6,15
01/2020,Lesiones,Siniestro Vial,Villa Pueyrredón,11,12
01/2020,Lesiones,Siniestro Vial,Villa Real,4,10
01/2020,Lesiones,Siniestro Vial,Villa Riachuelo,7,8
01/2020,Lesiones,Siniestro Vial,Villa Santa Rita,8,11
01/2020,Lesiones,Siniestro Vial,Villa Soldati,4,8
01/2020,Lesiones,Siniestro Vial,Villa Urquiza,17,12
01/2020,Robo (con violencia),,,7,NA
01/2020,Robo (con violencia),,Agronomía,13,15
01/2020,Robo (con violencia),,Almagro,206,5
01/2020,Robo (con violencia),,Balvanera,323,3
01/2020,Robo (con violencia),,Barracas,206,4
01/2020,Robo (con violencia),,Belgrano,155,13
01/2020,Robo (con violencia),,Boca,72,4
01/2020,Robo (con violencia),,Boedo,54,5
01/2020,Robo (con violencia),,Caballito,189,6
01/2020,Robo (con violencia),,Chacarita,68,15
01/2020,Robo (con violencia),,Coghlan,21,12
01/2020,Robo (con violencia),,Colegiales,63,13
01/2020,Robo (con violencia),,Constitución,166,1
01/2020,Robo (con violencia),,Flores,250,7
01/2020,Robo (con violencia),,Floresta,47,10
01/2020,Robo (con violencia),,Liniers,55,9
01/2020,Robo (con violencia),,Mataderos,89,9
01/2020,Robo (con violencia),,Monserrat,88,1
01/2020,Robo (con violencia),,Monte Castro,23,10
01/2020,Robo (con violencia),,Nueva Pompeya,131,4
01/2020,Robo (con violencia),,Nuñez,86,13
01/2020,Robo (con violencia),,Palermo,362,14
01/2020,Robo (con violencia),,Parque Avellaneda,77,9
01/2020,Robo (con violencia),,Parque Chacabuco,116,7
01/2020,Robo (con violencia),,Parque Chas,11,15
01/2020,Robo (con violencia),,Parque Patricios,74,4
01/2020,Robo (con violencia),,Paternal,17,15
01/2020,Robo (con violencia),,Puerto Madero,15,1
01/2020,Robo (con violencia),,Recoleta,185,2
01/2020,Robo (con violencia),,Retiro,165,1
01/2020,Robo (con violencia),,Saavedra,76,12
01/2020,Robo (con violencia),,San Cristóbal,91,3
01/2020,Robo (con violencia),,San Nicolás,159,1
01/2020,Robo (con violencia),,San Telmo,45,1
01/2020,Robo (con violencia),,Vélez Sársfield,33,10
01/2020,Robo (con violencia),,Versalles,19,10
01/2020,Robo (con violencia),,Villa Crespo,114,15
01/2020,Robo (con violencia),,Villa Del Parque,42,11
01/2020,Robo (con violencia),,Villa Devoto,55,11
01/2020,Robo (con violencia),,Villa Gral. Mitre,28,11
01/2020,Robo (con violencia),,Villa Lugano,153,8
01/2020,Robo (con violencia),,Villa Luro,28,10
01/2020,Robo (con violencia),,Villa Ortuzar,20,15
01/2020,Robo (con violencia),,Villa Pueyrredón,33,12
01/2020,Robo (con violencia),,Villa Real,7,10
01/2020,Robo (con violencia),,Villa Riachuelo,20,8
01/2020,Robo (con violencia),,Villa Santa Rita,37,11
01/2020,Robo (con violencia),,Villa Soldati,81,8
01/2020,Robo (con violencia),,Villa Urquiza,80,12
01/2020,Robo (con violencia),Con uso de moto,Agronomía,2,15
01/2020,Robo (con violencia),Con uso de moto,Almagro,10,5
01/2020,Robo (con violencia),Con uso de moto,Balvanera,33,3
01/2020,Robo (con violencia),Con uso de moto,Barracas,33,4
01/2020,Robo (con violencia),Con uso de moto,Belgrano,24,13
01/2020,Robo (con violencia),Con uso de moto,Boca,5,4
01/2020,Robo (con violencia),Con uso de moto,Boedo,9,5
01/2020,Robo (con violencia),Con uso de moto,Caballito,30,6
01/2020,Robo (con violencia),Con uso de moto,Chacarita,8,15
01/2020,Robo (con violencia),Con uso de moto,Coghlan,5,12
01/2020,Robo (con violencia),Con uso de moto,Colegiales,17,13
01/2020,Robo (con violencia),Con uso de moto,Constitución,9,1
01/2020,Robo (con violencia),Con uso de moto,Flores,27,7
01/2020,Robo (con violencia),Con uso de moto,Floresta,3,10
01/2020,Robo (con violencia),Con uso de moto,Liniers,1,9
01/2020,Robo (con violencia),Con uso de moto,Mataderos,2,9
01/2020,Robo (con violencia),Con uso de moto,Monserrat,22,1
01/2020,Robo (con violencia),Con uso de moto,Monte Castro,3,10
01/2020,Robo (con violencia),Con uso de moto,Nueva Pompeya,10,4
01/2020,Robo (con violencia),Con uso de moto,Nuñez,6,13
01/2020,Robo (con violencia),Con uso de moto,Palermo,42,14
01/2020,Robo (con violencia),Con uso de moto,Parque Avellaneda,9,9
01/2020,Robo (con violencia),Con uso de moto,Parque Chacabuco,14,7
01/2020,Robo (con violencia),Con uso de moto,Parque Chas,1,15
01/2020,Robo (con violencia),Con uso de moto,Parque Patricios,15,4
01/2020,Robo (con violencia),Con uso de moto,Paternal,4,15
01/2020,Robo (con violencia),Con uso de moto,Puerto Madero,2,1
01/2020,Robo (con violencia),Con uso de moto,Recoleta,13,2
01/2020,Robo (con violencia),Con uso de moto,Retiro,12,1
01/2020,Robo (con violencia),Con uso de moto,Saavedra,7,12
01/2020,Robo (con violencia),Con uso de moto,San Cristóbal,6,3
01/2020,Robo (con violencia),Con uso de moto,San Nicolás,15,1
01/2020,Robo (con violencia),Con uso de moto,San Telmo,13,1
01/2020,Robo (con violencia),Con uso de moto,Vélez Sársfield,3,10
01/2020,Robo (con violencia),Con uso de moto,Versalles,3,10
01/2020,Robo (con violencia),Con uso de moto,Villa Crespo,19,15
01/2020,Robo (con violencia),Con uso de moto,Villa Del Parque,2,11
01/2020,Robo (con violencia),Con uso de moto,Villa Devoto,9,11
01/2020,Robo (con violencia),Con uso de moto,Villa Gral. Mitre,5,11
01/2020,Robo (con violencia),Con uso de moto,Villa Lugano,17,8
01/2020,Robo (con violencia),Con uso de moto,Villa Luro,2,10
01/2020,Robo (con violencia),Con uso de moto,Villa Ortuzar,3,15
01/2020,Robo (con violencia),Con uso de moto,Villa Pueyrredón,8,12
01/2020,Robo (con violencia),Con uso de moto,Villa Santa Rita,3,11
01/2020,Robo (con violencia),Con uso de moto,Villa Soldati,5,8
01/2020,Robo (con violencia),Con uso de moto,Villa Urquiza,9,12
01/2020,Robo (con violencia),Robo Automotor,Balvanera,2,3
01/2020,Robo (con violencia),Robo Automotor,Barracas,8,4
01/2020,Robo (con violencia),Robo Automotor,Belgrano,3,13
01/2020,Robo (con violencia),Robo Automotor,Boca,6,4
01/2020,Robo (con violencia),Robo Automotor,Boedo,2,5
01/2020,Robo (con violencia),Robo Automotor,Caballito,2,6
01/2020,Robo (con violencia),Robo Automotor,Chacarita,1,15
01/2020,Robo (con violencia),Robo Automotor,Flores,8,7
01/2020,Robo (con violencia),Robo Automotor,Floresta,1,10
01/2020,Robo (con violencia),Robo Automotor,Liniers,3,9
01/2020,Robo (con violencia),Robo Automotor,Mataderos,4,9
01/2020,Robo (con violencia),Robo Automotor,Monte Castro,3,10
01/2020,Robo (con violencia),Robo Automotor,Nueva Pompeya,11,4
01/2020,Robo (con violencia),Robo Automotor,Nuñez,1,13
01/2020,Robo (con violencia),Robo Automotor,Parque Avellaneda,5,9
01/2020,Robo (con violencia),Robo Automotor,Parque Chacabuco,5,7
01/2020,Robo (con violencia),Robo Automotor,Parque Chas,1,15
01/2020,Robo (con violencia),Robo Automotor,Parque Patricios,2,4
01/2020,Robo (con violencia),Robo Automotor,Paternal,1,15
01/2020,Robo (con violencia),Robo Automotor,Recoleta,1,2
01/2020,Robo (con violencia),Robo Automotor,Retiro,1,1
01/2020,Robo (con violencia),Robo Automotor,San Cristóbal,2,3
01/2020,Robo (con violencia),Robo Automotor,San Nicolás,1,1
01/2020,Robo (con violencia),Robo Automotor,San Telmo,2,1
01/2020,Robo (con violencia),Robo Automotor,Vélez Sársfield,1,10
01/2020,Robo (con violencia),Robo Automotor,Villa Crespo,1,15
01/2020,Robo (con violencia),Robo Automotor,Villa Del Parque,2,11
01/2020,Robo (con violencia),Robo Automotor,Villa Devoto,1,11
01/2020,Robo (con violencia),Robo Automotor,Villa Gral. Mitre,1,11
01/2020,Robo (con violencia),Robo Automotor,Villa Lugano,13,8
01/2020,Robo (con violencia),Robo Automotor,Villa Luro,1,10
01/2020,Robo (con violencia),Robo Automotor,Villa Ortuzar,1,15
01/2020,Robo (con violencia),Robo Automotor,Villa Riachuelo,1,8
01/2020,Robo (con violencia),Robo Automotor,Villa Soldati,6,8
02/2020,Homicidio,Doloso,Barracas,2,4
02/2020,Homicidio,Doloso,Boca,1,4
02/2020,Homicidio,Doloso,Mataderos,1,9
02/2020,Homicidio,Doloso,Retiro,4,1
02/2020,Homicidio,Doloso,Villa Lugano,1,8
02/2020,Homicidio,Siniestro Vial,Almagro,2,5
02/2020,Homicidio,Siniestro Vial,Balvanera,1,3
02/2020,Homicidio,Siniestro Vial,Constitución,1,1
02/2020,Homicidio,Siniestro Vial,Parque Chas,1,15
02/2020,Homicidio,Siniestro Vial,San Nicolás,1,1
02/2020,Homicidio,Siniestro Vial,San Telmo,1,1
02/2020,Homicidio,Siniestro Vial,Villa Devoto,1,11
02/2020,Hurto (sin violencia),,,4,NA
02/2020,Hurto (sin violencia),,Agronomía,12,15
02/2020,Hurto (sin violencia),,Almagro,130,5
02/2020,Hurto (sin violencia),,Balvanera,303,3
02/2020,Hurto (sin violencia),,Barracas,93,4
02/2020,Hurto (sin violencia),,Belgrano,160,13
02/2020,Hurto (sin violencia),,Boca,35,4
02/2020,Hurto (sin violencia),,Boedo,48,5
02/2020,Hurto (sin violencia),,Caballito,147,6
02/2020,Hurto (sin violencia),,Chacarita,43,15
02/2020,Hurto (sin violencia),,Coghlan,11,12
02/2020,Hurto (sin violencia),,Colegiales,38,13
02/2020,Hurto (sin violencia),,Constitución,105,1
02/2020,Hurto (sin violencia),,Flores,136,7
02/2020,Hurto (sin violencia),,Floresta,47,10
02/2020,Hurto (sin violencia),,Liniers,48,9
02/2020,Hurto (sin violencia),,Mataderos,76,9
02/2020,Hurto (sin violencia),,Monserrat,156,1
02/2020,Hurto (sin violencia),,Monte Castro,17,10
02/2020,Hurto (sin violencia),,Nueva Pompeya,56,4
02/2020,Hurto (sin violencia),,Nuñez,51,13
02/2020,Hurto (sin violencia),,Palermo,393,14
02/2020,Hurto (sin violencia),,Parque Avellaneda,45,9
02/2020,Hurto (sin violencia),,Parque Chacabuco,53,7
02/2020,Hurto (sin violencia),,Parque Chas,13,15
02/2020,Hurto (sin violencia),,Parque Patricios,35,4
02/2020,Hurto (sin violencia),,Paternal,11,15
02/2020,Hurto (sin violencia),,Puerto Madero,9,1
02/2020,Hurto (sin violencia),,Recoleta,164,2
02/2020,Hurto (sin violencia),,Retiro,132,1
02/2020,Hurto (sin violencia),,Saavedra,51,12
02/2020,Hurto (sin violencia),,San Cristóbal,55,3
02/2020,Hurto (sin violencia),,San Nicolás,247,1
02/2020,Hurto (sin violencia),,San Telmo,46,1
02/2020,Hurto (sin violencia),,Vélez Sársfield,20,10
02/2020,Hurto (sin violencia),,Versalles,10,10
02/2020,Hurto (sin violencia),,Villa Crespo,89,15
02/2020,Hurto (sin violencia),,Villa Del Parque,46,11
02/2020,Hurto (sin violencia),,Villa Devoto,67,11
02/2020,Hurto (sin violencia),,Villa Gral. Mitre,42,11
02/2020,Hurto (sin violencia),,Villa Lugano,88,8
02/2020,Hurto (sin violencia),,Villa Luro,30,10
02/2020,Hurto (sin violencia),,Villa Ortuzar,9,15
02/2020,Hurto (sin violencia),,Villa Pueyrredón,50,12
02/2020,Hurto (sin violencia),,Villa Real,7,10
02/2020,Hurto (sin violencia),,Villa Riachuelo,16,8
02/2020,Hurto (sin violencia),,Villa Santa Rita,38,11
02/2020,Hurto (sin violencia),,Villa Soldati,49,8
02/2020,Hurto (sin violencia),,Villa Urquiza,83,12
02/2020,Hurto (sin violencia),Hurto Automotor,Agronomía,4,15
02/2020,Hurto (sin violencia),Hurto Automotor,Almagro,11,5
02/2020,Hurto (sin violencia),Hurto Automotor,Balvanera,6,3
02/2020,Hurto (sin violencia),Hurto Automotor,Barracas,6,4
02/2020,Hurto (sin violencia),Hurto Automotor,Belgrano,14,13
02/2020,Hurto (sin violencia),Hurto Automotor,Boedo,15,5
02/2020,Hurto (sin violencia),Hurto Automotor,Caballito,26,6
02/2020,Hurto (sin violencia),Hurto Automotor,Chacarita,3,15
02/2020,Hurto (sin violencia),Hurto Automotor,Coghlan,4,12
02/2020,Hurto (sin violencia),Hurto Automotor,Colegiales,4,13
02/2020,Hurto (sin violencia),Hurto Automotor,Constitución,2,1
02/2020,Hurto (sin violencia),Hurto Automotor,Flores,17,7
02/2020,Hurto (sin violencia),Hurto Automotor,Floresta,8,10
02/2020,Hurto (sin violencia),Hurto Automotor,Liniers,6,9
02/2020,Hurto (sin violencia),Hurto Automotor,Mataderos,12,9
02/2020,Hurto (sin violencia),Hurto Automotor,Monserrat,1,1
02/2020,Hurto (sin violencia),Hurto Automotor,Monte Castro,3,10
02/2020,Hurto (sin violencia),Hurto Automotor,Nueva Pompeya,11,4
02/2020,Hurto (sin violencia),Hurto Automotor,Nuñez,10,13
02/2020,Hurto (sin violencia),Hurto Automotor,Palermo,13,14
02/2020,Hurto (sin violencia),Hurto Automotor,Parque Avellaneda,5,9
02/2020,Hurto (sin violencia),Hurto Automotor,Parque Chacabuco,8,7
02/2020,Hurto (sin violencia),Hurto Automotor,Parque Chas,1,15
02/2020,Hurto (sin violencia),Hurto Automotor,Parque Patricios,1,4
02/2020,Hurto (sin violencia),Hurto Automotor,Recoleta,7,2
02/2020,Hurto (sin violencia),Hurto Automotor,Retiro,3,1
02/2020,Hurto (sin violencia),Hurto Automotor,Saavedra,2,12
02/2020,Hurto (sin violencia),Hurto Automotor,San Cristóbal,8,3
02/2020,Hurto (sin violencia),Hurto Automotor,San Nicolás,2,1
02/2020,Hurto (sin violencia),Hurto Automotor,San Telmo,5,1
02/2020,Hurto (sin violencia),Hurto Automotor,Vélez Sársfield,5,10
02/2020,Hurto (sin violencia),Hurto Automotor,Versalles,2,10
02/2020,Hurto (sin violencia),Hurto Automotor,Villa Crespo,14,15
02/2020,Hurto (sin violencia),Hurto Automotor,Villa Del Parque,7,11
02/2020,Hurto (sin violencia),Hurto Automotor,Villa Devoto,8,11
02/2020,Hurto (sin violencia),Hurto Automotor,Villa Gral. Mitre,3,11
02/2020,Hurto (sin violencia),Hurto Automotor,Villa Lugano,25,8
02/2020,Hurto (sin violencia),Hurto Automotor,Villa Luro,4,10
02/2020,Hurto (sin violencia),Hurto Automotor,Villa Ortuzar,3,15
02/2020,Hurto (sin violencia),Hurto Automotor,Villa Pueyrredón,9,12
02/2020,Hurto (sin violencia),Hurto Automotor,Villa Real,1,10
02/2020,Hurto (sin violencia),Hurto Automotor,Villa Riachuelo,5,8
02/2020,Hurto (sin violencia),Hurto Automotor,Villa Santa Rita,1,11
02/2020,Hurto (sin violencia),Hurto Automotor,Villa Soldati,9,8
02/2020,Hurto (sin violencia),Hurto Automotor,Villa Urquiza,12,12
02/2020,Lesiones,Siniestro Vial,,31,NA
02/2020,Lesiones,Siniestro Vial,Agronomía,11,15
02/2020,Lesiones,Siniestro Vial,Almagro,28,5
02/2020,Lesiones,Siniestro Vial,Balvanera,36,3
02/2020,Lesiones,Siniestro Vial,Barracas,20,4
02/2020,Lesiones,Siniestro Vial,Belgrano,25,13
02/2020,Lesiones,Siniestro Vial,Boca,6,4
02/2020,Lesiones,Siniestro Vial,Boedo,18,5
02/2020,Lesiones,Siniestro Vial,Caballito,24,6
02/2020,Lesiones,Siniestro Vial,Chacarita,19,15
02/2020,Lesiones,Siniestro Vial,Colegiales,7,13
02/2020,Lesiones,Siniestro Vial,Constitución,17,1
02/2020,Lesiones,Siniestro Vial,Flores,34,7
02/2020,Lesiones,Siniestro Vial,Floresta,7,10
02/2020,Lesiones,Siniestro Vial,Liniers,20,9
02/2020,Lesiones,Siniestro Vial,Mataderos,26,9
02/2020,Lesiones,Siniestro Vial,Monserrat,21,1
02/2020,Lesiones,Siniestro Vial,Monte Castro,12,10
02/2020,Lesiones,Siniestro Vial,Nueva Pompeya,13,4
02/2020,Lesiones,Siniestro Vial,Nuñez,14,13
02/2020,Lesiones,Siniestro Vial,Palermo,49,14
02/2020,Lesiones,Siniestro Vial,Parque Avellaneda,11,9
02/2020,Lesiones,Siniestro Vial,Parque Chacabuco,20,7
02/2020,Lesiones,Siniestro Vial,Parque Chas,10,15
02/2020,Lesiones,Siniestro Vial,Parque Patricios,8,4
02/2020,Lesiones,Siniestro Vial,Paternal,8,15
02/2020,Lesiones,Siniestro Vial,Puerto Madero,4,1
02/2020,Lesiones,Siniestro Vial,Recoleta,30,2
02/2020,Lesiones,Siniestro Vial,Retiro,27,1
02/2020,Lesiones,Siniestro Vial,Saavedra,22,12
02/2020,Lesiones,Siniestro Vial,San Cristóbal,23,3
02/2020,Lesiones,Siniestro Vial,San Nicolás,34,1
02/2020,Lesiones,Siniestro Vial,San Telmo,10,1
02/2020,Lesiones,Siniestro Vial,Vélez Sársfield,4,10
02/2020,Lesiones,Siniestro Vial,Versalles,6,10
02/2020,Lesiones,Siniestro Vial,Villa Crespo,32,15
02/2020,Lesiones,Siniestro Vial,Villa Del Parque,6,11
02/2020,Lesiones,Siniestro Vial,Villa Devoto,23,11
02/2020,Lesiones,Siniestro Vial,Villa Gral. Mitre,10,11
02/2020,Lesiones,Siniestro Vial,Villa Lugano,15,8
02/2020,Lesiones,Siniestro Vial,Villa Luro,5,10
02/2020,Lesiones,Siniestro Vial,Villa Ortuzar,6,15
02/2020,Lesiones,Siniestro Vial,Villa Pueyrredón,6,12
02/2020,Lesiones,Siniestro Vial,Villa Real,5,10
02/2020,Lesiones,Siniestro Vial,Villa Riachuelo,4,8
02/2020,Lesiones,Siniestro Vial,Villa Santa Rita,7,11
02/2020,Lesiones,Siniestro Vial,Villa Soldati,9,8
02/2020,Lesiones,Siniestro Vial,Villa Urquiza,16,12
02/2020,Robo (con violencia),,,8,NA
02/2020,Robo (con violencia),,Agronomía,10,15
02/2020,Robo (con violencia),,Almagro,174,5
02/2020,Robo (con violencia),,Balvanera,296,3
02/2020,Robo (con violencia),,Barracas,168,4
02/2020,Robo (con violencia),,Belgrano,107,13
02/2020,Robo (con violencia),,Boca,63,4
02/2020,Robo (con violencia),,Boedo,72,5
02/2020,Robo (con violencia),,Caballito,197,6
02/2020,Robo (con violencia),,Chacarita,72,15
02/2020,Robo (con violencia),,Coghlan,13,12
02/2020,Robo (con violencia),,Colegiales,70,13
02/2020,Robo (con violencia),,Constitución,168,1
02/2020,Robo (con violencia),,Flores,190,7
02/2020,Robo (con violencia),,Floresta,36,10
02/2020,Robo (con violencia),,Liniers,61,9
