reunion_numero,reunion_tipo,sesion_numero,reunion_inicio,reunion_fin,sesion_camara,periodo_id
11,Especial,10,2016-08-08T10:59:00,2016-08-08T15:32:00,DIPUTADOS,HCDN134R11
10,Especial,9,2016-06-28T11:52:00,2016-06-29T01:28:00,DIPUTADOS,HCDN134R10
9,Especial,8,2016-06-21T11:38:00,2016-06-22T00:55:00,DIPUTADOS,HCDN134R09
8,Especial,7,2016-06-13T11:13:00,2016-06-14T03:53:00,DIPUTADOS,HCDN134R08
7,Ordinaria,6,2016-05-30T14:40:00,2016-05-30T21:38:00,DIPUTADOS,HCDN134R07
6,Ordinaria,5,2016-05-16T12:36:00,2016-05-17T05:55:00,DIPUTADOS,HCDN134R06
5,Minoría,,2016-05-10T12:30:00,2016-05-10T13:36:00,DIPUTADOS,HCDN134R05
4,Informativa,4,2016-04-25T12:05:00,2016-04-25T19:42:00,DIPUTADOS,HCDN134R04
3,Especial,3,2016-04-04T12:03:00,2016-04-04T18:02:00,DIPUTADOS,HCDN134R03
2,Especial,2,2016-03-13T12:24:00,2016-03-14T09:26:00,DIPUTADOS,HCDN134R02
1,Especial,1,2016-02-28T14:30:00,2016-02-28T15:01:00,DIPUTADOS,HCDN134R01
1,Apertura Ordinarias,,2016-02-28T11:08:00,2016-02-28T12:26:00,ASAMBLEA,HCDN134A01
10,Preparatoria,,2015-12-02T18:25:00,2015-12-02T21:03:00,DIPUTADOS,HCDN133R10
9,Especial,9,2015-11-24T12:27:00,2015-11-24T18:46:00,DIPUTADOS,HCDN133R09
8,Especial,8,2015-11-02T14:24:00,2015-11-02T16:48:00,DIPUTADOS,HCDN133R08
7,Especial,7,2015-10-05T12:22:00,2015-10-06T05:10:00,DIPUTADOS,HCDN133R07
6,Especial,6,2015-09-21T12:57:00,2015-09-21T21:10:00,DIPUTADOS,HCDN133R06
5,Ordinaria,5,2015-08-24T13:48:00,2015-08-24T19:10:00,DIPUTADOS,HCDN133R05
4,Especial,4,2015-07-13T12:20:00,2015-07-13T22:26:00,DIPUTADOS,HCDN133R04
3,Especial,3,2015-06-08T14:19:00,2015-06-09T00:49:00,DIPUTADOS,HCDN133R03
2,Ordinaria,2,2015-04-27T12:56:00,2015-04-27T19:35:00,DIPUTADOS,HCDN133R02
1,Especial,1,2015-04-06T12:18:00,2015-04-07T02:28:00,DIPUTADOS,HCDN133R01
3,Juramento Presidente Macri,,2015-12-08T11:15:00,2015-12-08T12:13:00,ASAMBLEA,HCDN133A03
2,Resultado elecciones,,2015-12-02T11:45:00,2015-12-02T12:29:00,ASAMBLEA,HCDN133A02
1,Apertura Ordinarias,,2015-02-27T11:30:00,2015-02-27T16:01:00,ASAMBLEA,HCDN133A01
27,Especial,1,2015-02-23T12:13:00,2015-02-24T04:02:00,DIPUTADOS,HCDN132R27
26,Especial,2,2014-12-14T13:04:00,2014-12-15T01:05:00,DIPUTADOS,HCDN132R26
25,Especial,1,2014-12-02T12:22:00,2014-12-03T03:05:00,DIPUTADOS,HCDN132R25
24,Preparatoria,,2014-12-01T12:14:00,2014-12-01T13:55:00,DIPUTADOS,HCDN132R24
23,Ordinaria,18,2014-11-17T13:55:00,2014-11-17T21:25:00,DIPUTADOS,HCDN132R23
22,Especial,17,2014-11-10T13:15:00,2014-11-11T03:48:00,DIPUTADOS,HCDN132R22
21,Informativa,16,2014-11-03T12:56:00,2014-11-03T18:57:00,DIPUTADOS,HCDN132R21
20,Especial,15,2014-10-27T12:09:00,2014-10-28T02:26:00,DIPUTADOS,HCDN132R20
19,Especial,14,2014-10-20T12:15:00,2014-10-21T00:10:00,DIPUTADOS,HCDN132R19
18,Especial,13,2014-10-06T12:10:00,2014-10-07T02:43:00,DIPUTADOS,HCDN132R18
17,Especial,12,2014-09-29T12:12:00,2014-09-29T19:37:00,DIPUTADOS,HCDN132R17
16,Especial,11,2014-09-15T12:03:00,2014-09-16T02:22:00,DIPUTADOS,HCDN132R16
15,Especial,10,2014-09-08T12:06:00,2014-09-09T05:47:00,DIPUTADOS,HCDN132R15
14,Informativa,9,2014-09-01T11:29:00,2014-09-01T18:12:00,DIPUTADOS,HCDN132R14
13,Ordinaria,8,2014-08-25T12:29:00,2014-08-25T21:43:00,DIPUTADOS,HCDN132R13
12,Especial,7,2014-08-04T12:16:00,2014-08-04T18:10:00,DIPUTADOS,HCDN132R12
11,Ordinaria,6,2014-06-30T12:32:00,2014-06-30T21:03:00,DIPUTADOS,HCDN132R11
10,Informativa,5,2014-06-02T11:22:00,2014-06-02T16:14:00,DIPUTADOS,HCDN132R10
9,Minoría,,2014-06-01T11:26:00,2014-06-01T12:27:00,DIPUTADOS,HCDN132R09
8,Minoría,,2014-06-01T10:30:00,2014-06-01T11:25:00,DIPUTADOS,HCDN132R08
7,Minoría,,2014-05-19T23:23:00,2014-05-20T00:17:00,DIPUTADOS,HCDN132R07
6,Especial,4,2014-05-19T10:47:00,2014-05-19T23:22:00,DIPUTADOS,HCDN132R06
5,Minoría,,2014-05-12T20:05:00,2014-05-12T20:37:00,DIPUTADOS,HCDN132R05
4,Especial,3,2014-05-12T10:49:00,2014-05-12T20:04:00,DIPUTADOS,HCDN132R04
3,Minoría,,2014-05-05T11:00:00,2014-05-05T12:21:00,DIPUTADOS,HCDN132R03
2,Especial,2,2014-04-21T12:10:00,2014-04-22T04:10:00,DIPUTADOS,HCDN132R02
1,Informativa,1,2014-04-01T11:19:00,2014-04-01T19:46:00,DIPUTADOS,HCDN132R01
2,Pte. Bachelet Chile,,2014-05-10T17:00:00,2014-05-10T17:40:00,ASAMBLEA,HCDN132A02
1,Apertura Ordinarias,,2014-02-27T11:36:00,2014-02-27T15:08:00,ASAMBLEA,HCDN132A01
13,Preparatoria,11,2013-12-02T10:23:00,2013-12-02T14:04:00,DIPUTADOS,HCDN131R13
12,Especial,10,2013-11-25T13:56:00,2013-11-26T03:38:00,DIPUTADOS,HCDN131R12
11,Especial,9,2013-09-23T12:26:00,2013-09-24T06:32:00,DIPUTADOS,HCDN131R11
10,Ordinaria,8,2013-09-09T13:34:00,2013-09-10T00:52:00,DIPUTADOS,HCDN131R10
9,Especial,7,2013-09-02T12:15:00,2013-09-02T20:04:00,DIPUTADOS,HCDN131R09
8,Ordinaria,6,2013-07-01T12:55:00,2013-07-01T18:14:00,DIPUTADOS,HCDN131R08
7,Minoría,,2013-06-04T12:30:00,2013-06-04T13:36:00,DIPUTADOS,HCDN131R07
6,Ordinaria,5,2013-06-03T12:39:00,2013-06-03T20:13:00,DIPUTADOS,HCDN131R06
5,Especial,4,2013-05-27T12:11:00,2013-05-27T23:52:00,DIPUTADOS,HCDN131R05
4,Minoría,,2013-05-26T12:00:00,2013-05-26T12:02:00,DIPUTADOS,HCDN131R04
3,Especial,3,2013-04-22T12:07:00,2013-04-23T08:58:00,DIPUTADOS,HCDN131R03
2,Especial,2,2013-04-15T12:10:00,2013-04-15T22:51:00,DIPUTADOS,HCDN131R02
1,Ordinaria,1,2013-03-11T14:26:00,2013-03-11T21:22:00,DIPUTADOS,HCDN131R01
1,Apertura Ordinarias,,2013-02-27T12:28:00,2013-02-27T16:13:00,ASAMBLEA,HCDN131A01
24,Especial,2,2013-02-25T12:19:00,2013-02-26T02:02:00,DIPUTADOS,HCDN130R24
23,Especial,1,2012-12-17T13:16:00,2012-12-17T22:36:00,DIPUTADOS,HCDN130R23
22,Preparatoria,19,2012-12-03T12:43:00,2012-12-03T14:28:00,DIPUTADOS,HCDN130R22
21,Ordinaria,18,2012-11-26T15:52:00,2012-11-26T23:44:00,DIPUTADOS,HCDN130R21
20,Ordinaria,17,2012-11-19T14:31:00,2012-11-19T22:18:00,DIPUTADOS,HCDN130R20
19,Especial,16,2012-11-12T12:03:00,2012-11-12T22:09:00,DIPUTADOS,HCDN130R19
18,Especial,15,2012-10-29T12:16:00,2012-10-29T23:42:00,DIPUTADOS,HCDN130R18
17,Especial,14,2012-10-22T11:57:00,2012-10-22T22:07:00,DIPUTADOS,HCDN130R17
16,Especial,13,2012-10-08T12:03:00,2012-10-09T02:15:00,DIPUTADOS,HCDN130R16
15,Especial,12,2012-08-20T11:56:00,2012-08-20T22:16:00,DIPUTADOS,HCDN130R15
14,Ordinaria,11,2012-08-06T13:30:00,2012-08-06T15:21:00,DIPUTADOS,HCDN130R14
13,Especial,10,2012-07-02T17:53:00,2012-07-02T19:29:00,DIPUTADOS,HCDN130R13
12,Informativa,9,2012-07-02T12:49:00,2012-07-02T17:44:00,DIPUTADOS,HCDN130R12
11,Ordinaria,8,2012-06-25T12:30:00,2012-06-25T17:36:00,DIPUTADOS,HCDN130R11
10,Minoría,,2012-06-25T11:00:00,2012-06-25T11:27:00,DIPUTADOS,HCDN130R10
9,Especial,7,2012-06-23T19:20:00,2012-06-23T19:33:00,DIPUTADOS,HCDN130R09
8,Ordinaria,6,2012-05-21T13:13:00,2012-05-21T17:54:00,DIPUTADOS,HCDN130R08
7,Especial cont.,5,2012-05-01T10:10:00,2012-05-01T22:47:00,DIPUTADOS,HCDN130R07
6,Especial,5,2012-04-30T15:50:00,2012-05-01T00:06:00,DIPUTADOS,HCDN130R06
5,Ordinaria,4,2012-04-16T12:50:00,2012-04-16T21:12:00,DIPUTADOS,HCDN130R05
4,Especial,3,2012-03-26T12:10:00,2012-03-26T20:48:00,DIPUTADOS,HCDN130R04
3,Conjunta homenaje,,2012-03-22T10:33:00,2012-03-22T11:15:00,DIPUTADOS,HCDN130R03
2,Ordinaria,2,2012-03-19T12:43:00,2012-03-19T22:33:00,DIPUTADOS,HCDN130R02
1,Especial,1,2012-03-12T12:05:00,2012-03-12T22:21:00,DIPUTADOS,HCDN130R01
2,Pres.Peru Ollanta H.,,2012-11-25T16:59:00,2012-11-25T17:33:00,ASAMBLEA,HCDN130A02
1,Apertura Ordinarias,,2012-02-28T10:56:00,2012-02-28T15:16:00,ASAMBLEA,HCDN130A01
13,Especial,1 (cont.),2011-12-13T12:40:00,2011-12-14T05:59:00,DIPUTADOS,HCDN129R13
12,Especial,1,2011-12-12T13:34:00,2011-12-12T21:45:00,DIPUTADOS,HCDN129R12
11,Preparatoria,,2011-12-04T11:38:00,2011-12-04T15:48:00,DIPUTADOS,HCDN129R11
10,Especial,7,2011-11-28T14:48:00,2011-11-28T22:52:00,DIPUTADOS,HCDN129R10
9,Especial Minoría,,2011-10-03T14:34:00,2011-10-03T14:49:00,DIPUTADOS,HCDN129R09
8,Especial,6,2011-09-05T15:38:00,2011-09-05T18:32:00,DIPUTADOS,HCDN129R08
7,Especial,5,2011-08-01T15:37:00,2011-08-01T18:29:00,DIPUTADOS,HCDN129R07
6,Especial,4,2011-05-30T14:30:00,2011-05-30T18:06:00,DIPUTADOS,HCDN129R06
5,Especial,3,2011-05-02T14:27:00,2011-05-02T22:47:00,DIPUTADOS,HCDN129R05
4,Especial Minoría,,2011-05-02T10:33:00,2011-05-02T10:37:00,DIPUTADOS,HCDN129R04
3,Ordinaria,2,2011-04-11T14:28:00,2011-04-11T20:42:00,DIPUTADOS,HCDN129R03
2,Especial Minoría,,2011-03-28T13:33:00,2011-03-28T14:15:00,DIPUTADOS,HCDN129R02
1,Ordinaria,1,2011-03-14T15:39:00,2011-03-14T20:47:00,DIPUTADOS,HCDN129R01
3,Juramento Presidente Fernandez de Kirchner,,2011-12-08T11:32:00,2011-12-08T13:22:00,ASAMBLEA,HCDN129A03
2,Proclamación Presidente y Vice,,2011-11-29T10:36:00,2011-11-29T11:07:00,ASAMBLEA,HCDN129A02
1,Apertura Ordinarias,,2011-02-27T11:25:00,2011-02-27T13:31:00,ASAMBLEA,HCDN129A01
29,Preparatoria,,2010-11-29T13:13:00,2010-11-29T15:15:00,DIPUTADOS,HCDN128R29
28,Especial,18,2010-11-22T11:02:00,2010-11-22T16:45:00,DIPUTADOS,HCDN128R28
27,Especial Minoría,,2010-11-15T11:05:00,2010-11-15T11:38:00,DIPUTADOS,HCDN128R27
26,Especial,17,2010-11-08T12:58:00,2010-11-09T03:05:00,DIPUTADOS,HCDN128R26
25,Especial Homenaje,16,2010-11-01T13:31:00,2010-11-01T22:04:00,DIPUTADOS,HCDN128R25
24,Ordinaria,15,2010-10-11T15:27:00,2010-10-11T18:38:00,DIPUTADOS,HCDN128R24
23,Minoría,,2010-10-10T16:33:00,2010-10-10T17:01:00,DIPUTADOS,HCDN128R23
22,Minoría,,2010-09-27T02:39:00,2010-09-27T02:44:00,DIPUTADOS,HCDN128R22
21,Informativa,14,2010-09-13T15:24:00,2010-09-13T19:43:00,DIPUTADOS,HCDN128R21
20,Ordinaria,13,2010-09-06T14:29:00,2010-09-07T00:54:00,DIPUTADOS,HCDN128R20
19,Minoría,,2010-08-30T12:39:00,2010-08-30T12:57:00,DIPUTADOS,HCDN128R19
